Campus,Year,BuildingCode,BuildingName,Room,RoomType,Start,End
UBCV,2023-2024,ORCH,Orchard Commons,4062,General,2024-08-02 07:00,2024-08-02 09:00
UBCV,2023-2024,ORCH,Orchard Commons,4062,General,2024-08-02 13:00,2024-08-02 14:00
UBCV,2023-2024,ORCH,Orchard Commons,4062,General,2024-08-03 07:00,2024-08-03 14:00
UBCV,2023-2024,ORCH,Orchard Commons,4062,General,2024-08-04 07:00,2024-08-04 14:00
UBCV,2023-2024,ORCH,Orchard Commons,4062,General,2024-08-05 07:00,2024-08-05 09:00
UBCV,2023-2024,ORCH,Orchard Commons,4062,General,2024-08-05 13:00,2024-08-05 14:00
UBCV,2023-2024,ORCH,Orchard Commons,4062,General,2024-08-06 07:00,2024-08-06 09:00
UBCV,2023-2024,ORCH,Orchard Commons,4062,General,2024-08-06 13:00,2024-08-06 14:00
UBCV,2023-2024,ORCH,Orchard Commons,4062,General,2024-08-07 07:00,2024-08-07 09:00
UBCV,2023-2024,ORCH,Orchard Commons,4062,General,2024-08-07 13:00,2024-08-07 14:00
UBCV,2023-2024,ORCH,Orchard Commons,4062,General,2024-08-08 07:00,2024-08-08 09:00
UBCV,2023-2024,ORCH,Orchard Commons,4062,General,2024-08-08 13:00,2024-08-08 14:00
UBCV,2023-2024,ORCH,Orchard Commons,4062,General,2024-08-09 07:00,2024-08-09 09:00
UBCV,2023-2024,ORCH,Orchard Commons,4062,General,2024-08-09 13:00,2024-08-09 22:00
UBCV,2023-2024,ORCH,Orchard Commons,4062,General,2024-08-10 07:00,2024-08-10 22:00
UBCV,2023-2024,ORCH,Orchard Commons,4062,General,2024-08-11 07:00,2024-08-11 22:00
UBCV,2023-2024,ORCH,Orchard Commons,3018,General,2024-07-29 07:00,2024-07-29 09:00
UBCV,2023-2024,ORCH,Orchard Commons,3018,General,2024-07-29 11:00,2024-07-29 22:00
UBCV,2023-2024,ORCH,Orchard Commons,3018,General,2024-07-30 07:00,2024-07-30 09:00
UBCV,2023-2024,ORCH,Orchard Commons,3018,General,2024-07-30 13:00,2024-07-30 22:00
UBCV,2023-2024,ORCH,Orchard Commons,3018,General,2024-07-31 07:00,2024-07-31 09:00
UBCV,2023-2024,ORCH,Orchard Commons,3018,General,2024-07-31 11:00,2024-07-31 12:00
UBCV,2023-2024,ORCH,Orchard Commons,3018,General,2024-07-31 15:00,2024-07-31 22:00
UBCV,2023-2024,ORCH,Orchard Commons,3018,General,2024-08-01 07:00,2024-08-01 09:00
UBCV,2023-2024,ORCH,Orchard Commons,3018,General,2024-08-01 13:00,2024-08-01 22:00
UBCV,2023-2024,ORCH,Orchard Commons,3018,General,2024-08-02 07:00,2024-08-02 22:00
UBCV,2023-2024,ORCH,Orchard Commons,3018,General,2024-08-03 07:00,2024-08-03 22:00
UBCV,2023-2024,ORCH,Orchard Commons,3018,General,2024-08-04 07:00,2024-08-04 22:00
UBCV,2023-2024,ORCH,Orchard Commons,3018,General,2024-08-05 07:00,2024-08-05 09:00
UBCV,2023-2024,ORCH,Orchard Commons,3018,General,2024-08-05 11:00,2024-08-05 22:00
UBCV,2023-2024,ORCH,Orchard Commons,3018,General,2024-08-06 07:00,2024-08-06 09:00
UBCV,2023-2024,ORCH,Orchard Commons,3018,General,2024-08-06 13:00,2024-08-06 22:00
UBCV,2023-2024,ORCH,Orchard Commons,3018,General,2024-08-07 07:00,2024-08-07 09:00
UBCV,2023-2024,ORCH,Orchard Commons,3018,General,2024-08-07 11:00,2024-08-07 22:00
UBCV,2023-2024,ORCH,Orchard Commons,3018,General,2024-08-08 07:00,2024-08-08 09:00
UBCV,2023-2024,ORCH,Orchard Commons,3018,General,2024-08-08 13:00,2024-08-08 22:00
UBCV,2023-2024,ORCH,Orchard Commons,3018,General,2024-08-09 07:00,2024-08-09 22:00
UBCV,2023-2024,ORCH,Orchard Commons,3018,General,2024-08-10 07:00,2024-08-10 22:00
UBCV,2023-2024,ORCH,Orchard Commons,3018,General,2024-08-11 07:00,2024-08-11 22:00
UBCV,2023-2024,ORCH,Orchard Commons,3058,General,2024-07-29 07:00,2024-07-29 09:00
UBCV,2023-2024,ORCH,Orchard Commons,3058,General,2024-07-29 12:00,2024-07-29 13:00
UBCV,2023-2024,ORCH,Orchard Commons,3058,General,2024-07-29 16:30,2024-07-29 22:00
UBCV,2023-2024,ORCH,Orchard Commons,3058,General,2024-07-30 07:00,2024-07-30 09:00
UBCV,2023-2024,ORCH,Orchard Commons,3058,General,2024-07-30 12:00,2024-07-30 13:00
UBCV,2023-2024,ORCH,Orchard Commons,3058,General,2024-07-30 16:30,2024-07-30 22:00
UBCV,2023-2024,ORCH,Orchard Commons,3058,General,2024-07-31 07:00,2024-07-31 09:00
UBCV,2023-2024,ORCH,Orchard Commons,3058,General,2024-07-31 12:00,2024-07-31 13:00
UBCV,2023-2024,ORCH,Orchard Commons,3058,General,2024-07-31 16:30,2024-07-31 22:00
UBCV,2023-2024,ORCH,Orchard Commons,3058,General,2024-08-01 07:00,2024-08-01 09:00
UBCV,2023-2024,ORCH,Orchard Commons,3058,General,2024-08-01 12:00,2024-08-01 13:00
UBCV,2023-2024,ORCH,Orchard Commons,3058,General,2024-08-01 16:30,2024-08-01 22:00
UBCV,2023-2024,ORCH,Orchard Commons,3058,General,2024-08-02 07:00,2024-08-02 09:00
UBCV,2023-2024,ORCH,Orchard Commons,3058,General,2024-08-02 12:00,2024-08-02 13:00
UBCV,2023-2024,ORCH,Orchard Commons,3058,General,2024-08-02 16:30,2024-08-02 22:00
UBCV,2023-2024,ORCH,Orchard Commons,3058,General,2024-08-03 07:00,2024-08-03 08:00
UBCV,2023-2024,ORCH,Orchard Commons,3058,General,2024-08-03 16:00,2024-08-03 22:00
UBCV,2023-2024,ORCH,Orchard Commons,3058,General,2024-08-04 07:00,2024-08-04 08:00
UBCV,2023-2024,ORCH,Orchard Commons,3058,General,2024-08-04 16:00,2024-08-04 22:00
UBCV,2023-2024,ORCH,Orchard Commons,3058,General,2024-08-05 07:00,2024-08-05 22:00
UBCV,2023-2024,ORCH,Orchard Commons,3058,General,2024-08-06 07:00,2024-08-06 13:00
UBCV,2023-2024,ORCH,Orchard Commons,3058,General,2024-08-06 16:30,2024-08-06 22:00
UBCV,2023-2024,ORCH,Orchard Commons,3058,General,2024-08-07 07:00,2024-08-07 13:00
UBCV,2023-2024,ORCH,Orchard Commons,3058,General,2024-08-07 16:30,2024-08-07 22:00
UBCV,2023-2024,ORCH,Orchard Commons,3058,General,2024-08-08 07:00,2024-08-08 08:00
UBCV,2023-2024,ORCH,Orchard Commons,3058,General,2024-08-08 16:00,2024-08-08 22:00
UBCV,2023-2024,ORCH,Orchard Commons,3058,General,2024-08-09 07:00,2024-08-09 22:00
UBCV,2023-2024,ORCH,Orchard Commons,3058,General,2024-08-10 07:00,2024-08-10 22:00
UBCV,2023-2024,ORCH,Orchard Commons,3058,General,2024-08-11 07:00,2024-08-11 22:00
UBCV,2023-2024,ORCH,Orchard Commons,4016,General,2024-07-29 07:00,2024-07-29 22:00
UBCV,2023-2024,ORCH,Orchard Commons,4016,General,2024-07-30 07:00,2024-07-30 22:00
UBCV,2023-2024,ORCH,Orchard Commons,4016,General,2024-07-31 07:00,2024-07-31 22:00
UBCV,2023-2024,ORCH,Orchard Commons,4016,General,2024-08-01 07:00,2024-08-01 22:00
UBCV,2023-2024,ORCH,Orchard Commons,4016,General,2024-08-02 07:00,2024-08-02 22:00
UBCV,2023-2024,ORCH,Orchard Commons,4016,General,2024-08-03 07:00,2024-08-03 08:00
UBCV,2023-2024,ORCH,Orchard Commons,4016,General,2024-08-03 16:00,2024-08-03 22:00
UBCV,2023-2024,ORCH,Orchard Commons,4016,General,2024-08-04 07:00,2024-08-04 08:00
UBCV,2023-2024,ORCH,Orchard Commons,4016,General,2024-08-04 16:00,2024-08-04 22:00
UBCV,2023-2024,ORCH,Orchard Commons,4016,General,2024-08-05 07:00,2024-08-05 22:00
UBCV,2023-2024,ORCH,Orchard Commons,4016,General,2024-08-06 07:00,2024-08-06 22:00
UBCV,2023-2024,ORCH,Orchard Commons,4016,General,2024-08-07 07:00,2024-08-07 22:00
