Campus,Year,BuildingCode,BuildingName,Room,RoomType,Start,End
UBCV,2023-2024,CHEM,Chemistry,C124,General,2024-07-10 07:00,2024-07-10 22:00
UBCV,2023-2024,CHEM,Chemistry,C124,General,2024-07-11 07:00,2024-07-11 22:00
UBCV,2023-2024,CHEM,Chemistry,C124,General,2024-07-12 07:00,2024-07-12 10:00
UBCV,2023-2024,CHEM,Chemistry,C124,General,2024-07-12 15:00,2024-07-12 22:00
UBCV,2023-2024,CHEM,Chemistry,C124,General,2024-07-13 07:00,2024-07-13 22:00
UBCV,2023-2024,CHEM,Chemistry,C124,General,2024-07-14 07:00,2024-07-14 22:00
UBCV,2023-2024,CHEM,Chemistry,C124,General,2024-07-15 07:00,2024-07-15 22:00
UBCV,2023-2024,CHEM,Chemistry,C124,General,2024-07-16 07:00,2024-07-16 22:00
UBCV,2023-2024,CHEM,Chemistry,C124,General,2024-07-17 07:00,2024-07-17 22:00
UBCV,2023-2024,CHEM,Chemistry,C124,General,2024-07-18 07:00,2024-07-18 22:00
UBCV,2023-2024,CHEM,Chemistry,C124,General,2024-07-19 07:00,2024-07-19 22:00
UBCV,2023-2024,CHEM,Chemistry,C124,General,2024-07-20 07:00,2024-07-20 22:00
UBCV,2023-2024,CHEM,Chemistry,C124,General,2024-07-21 07:00,2024-07-21 22:00
UBCV,2023-2024,CHEM,Chemistry,C126,General,2024-07-08 07:00,2024-07-08 22:00
UBCV,2023-2024,CHEM,Chemistry,C126,General,2024-07-09 07:00,2024-07-09 22:00
UBCV,2023-2024,CHEM,Chemistry,C126,General,2024-07-10 07:00,2024-07-10 22:00
UBCV,2023-2024,CHEM,Chemistry,C126,General,2024-07-11 07:00,2024-07-11 22:00
UBCV,2023-2024,CHEM,Chemistry,C126,General,2024-07-12 07:00,2024-07-12 22:00
UBCV,2023-2024,CHEM,Chemistry,C126,General,2024-07-13 07:00,2024-07-13 22:00
UBCV,2023-2024,CHEM,Chemistry,C126,General,2024-07-14 07:00,2024-07-14 22:00
UBCV,2023-2024,CHEM,Chemistry,C126,General,2024-07-15 07:00,2024-07-15 09:00
UBCV,2023-2024,CHEM,Chemistry,C126,General,2024-07-15 16:30,2024-07-15 22:00
UBCV,2023-2024,CHEM,Chemistry,C126,General,2024-07-16 07:00,2024-07-16 09:00
UBCV,2023-2024,CHEM,Chemistry,C126,General,2024-07-16 16:30,2024-07-16 22:00
UBCV,2023-2024,CHEM,Chemistry,C126,General,2024-07-17 07:00,2024-07-17 09:00
UBCV,2023-2024,CHEM,Chemistry,C126,General,2024-07-17 16:30,2024-07-17 22:00
UBCV,2023-2024,CHEM,Chemistry,C126,General,2024-07-18 07:00,2024-07-18 09:00
UBCV,2023-2024,CHEM,Chemistry,C126,General,2024-07-18 16:30,2024-07-18 22:00
UBCV,2023-2024,CHEM,Chemistry,C126,General,2024-07-19 07:00,2024-07-19 09:00
UBCV,2023-2024,CHEM,Chemistry,C126,General,2024-07-19 16:30,2024-07-19 22:00
UBCV,2023-2024,CHEM,Chemistry,C126,General,2024-07-20 07:00,2024-07-20 22:00
UBCV,2023-2024,CHEM,Chemistry,C126,General,2024-07-21 07:00,2024-07-21 22:00
UBCV,2023-2024,CHEM,Chemistry,D200,General,2024-07-08 07:00,2024-07-08 08:00
UBCV,2023-2024,CHEM,Chemistry,D200,General,2024-07-08 17:00,2024-07-08 22:00
UBCV,2023-2024,CHEM,Chemistry,D200,General,2024-07-09 07:00,2024-07-09 08:00
UBCV,2023-2024,CHEM,Chemistry,D200,General,2024-07-09 17:00,2024-07-09 22:00
UBCV,2023-2024,CHEM,Chemistry,D200,General,2024-07-10 07:00,2024-07-10 08:00
UBCV,2023-2024,CHEM,Chemistry,D200,General,2024-07-10 17:00,2024-07-10 22:00
UBCV,2023-2024,CHEM,Chemistry,D200,General,2024-07-11 07:00,2024-07-11 08:00
UBCV,2023-2024,CHEM,Chemistry,D200,General,2024-07-11 17:00,2024-07-11 22:00
UBCV,2023-2024,CHEM,Chemistry,D200,General,2024-07-12 07:00,2024-07-12 08:00
UBCV,2023-2024,CHEM,Chemistry,D200,General,2024-07-12 17:00,2024-07-12 22:00
UBCV,2023-2024,CHEM,Chemistry,D200,General,2024-07-13 07:00,2024-07-13 22:00
UBCV,2023-2024,CHEM,Chemistry,D200,General,2024-07-14 07:00,2024-07-14 22:00
UBCV,2023-2024,CHEM,Chemistry,D200,General,2024-07-15 07:00,2024-07-15 08:00
UBCV,2023-2024,CHEM,Chemistry,D200,General,2024-07-15 17:00,2024-07-15 22:00
UBCV,2023-2024,CHEM,Chemistry,D200,General,2024-07-16 07:00,2024-07-16 08:00
UBCV,2023-2024,CHEM,Chemistry,D200,General,2024-07-16 17:00,2024-07-16 22:00
UBCV,2023-2024,CHEM,Chemistry,D200,General,2024-07-17 07:00,2024-07-17 08:00
UBCV,2023-2024,CHEM,Chemistry,D200,General,2024-07-17 17:00,2024-07-17 22:00
UBCV,2023-2024,CHEM,Chemistry,D200,General,2024-07-18 07:00,2024-07-18 08:00
UBCV,2023-2024,CHEM,Chemistry,D200,General,2024-07-18 17:00,2024-07-18 22:00
UBCV,2023-2024,CHEM,Chemistry,D200,General,2024-07-19 07:00,2024-07-19 08:00
UBCV,2023-2024,CHEM,Chemistry,D200,General,2024-07-19 17:00,2024-07-19 22:00
UBCV,2023-2024,CHEM,Chemistry,D200,General,2024-07-20 07:00,2024-07-20 22:00
UBCV,2023-2024,CHEM,Chemistry,D200,General,2024-07-21 07:00,2024-07-21 22:00
UBCV,2023-2024,CHEM,Chemistry,D300,General,2024-07-08 14:00,2024-07-08 22:00
UBCV,2023-2024,CHEM,Chemistry,D300,General,2024-07-09 14:00,2024-07-09 22:00
UBCV,2023-2024,CHEM,Chemistry,D300,General,2024-07-10 14:00,2024-07-10 17:00
UBCV,2023-2024,CHEM,Chemistry,D300,General,2024-07-10 18:00,2024-07-10 22:00
UBCV,2023-2024,CHEM,Chemistry,D300,General,2024-07-11 14:00,2024-07-11 22:00
UBCV,2023-2024,CHEM,Chemistry,D300,General,2024-07-12 14:00,2024-07-12 22:00
UBCV,2023-2024,CHEM,Chemistry,D300,General,2024-07-13 07:00,2024-07-13 22:00
UBCV,2023-2024,CHEM,Chemistry,D300,General,2024-07-14 07:00,2024-07-14 22:00
UBCV,2023-2024,CHEM,Chemistry,D300,General,2024-07-15 07:00,2024-07-15 09:00
UBCV,2023-2024,CHEM,Chemistry,D300,General,2024-07-15 15:00,2024-07-15 22:00
UBCV,2023-2024,CHEM,Chemistry,D300,General,2024-07-16 07:00,2024-07-16 09:00
UBCV,2023-2024,CHEM,Chemistry,D300,General,2024-07-16 15:00,2024-07-16 22:00
UBCV,2023-2024,CHEM,Chemistry,D300,General,2024-07-17 07:00,2024-07-17 09:00
UBCV,2023-2024,CHEM,Chemistry,D300,General,2024-07-17 15:00,2024-07-17 17:00
UBCV,2023-2024,CHEM,Chemistry,D300,General,2024-07-17 18:00,2024-07-17 22:00
UBCV,2023-2024,CHEM,Chemistry,D300,General,2024-07-18 07:00,2024-07-18 09:00
UBCV,2023-2024,CHEM,Chemistry,D300,General,2024-07-18 15:00,2024-07-18 22:00
UBCV,2023-2024,CHEM,Chemistry,D300,General,2024-07-19 07:00,2024-07-19 09:00
UBCV,2023-2024,CHEM,Chemistry,D300,General,2024-07-19 15:00,2024-07-19 22:00
UBCV,2023-2024,CHEM,Chemistry,D300,General,2024-07-20 07:00,2024-07-20 22:00
UBCV,2023-2024,CHEM,Chemistry,D300,General,2024-07-21 07:00,2024-07-21 22:00
UBCV,2023-2024,CHEM,Chemistry,B270,Restricted,2024-07-08 07:00,2024-07-08 22:00
UBCV,2023-2024,CHEM,Chemistry,B270,Restricted,2024-07-09 07:00,2024-07-09 22:00
UBCV,2023-2024,CHEM,Chemistry,B270,Restricted,2024-07-10 07:00,2024-07-10 13:30
UBCV,2023-2024,CHEM,Chemistry,B270,Restricted,2024-07-10 16:30,2024-07-10 22:00
UBCV,2023-2024,CHEM,Chemistry,B270,Restricted,2024-07-11 07:00,2024-07-11 22:00
UBCV,2023-2024,CHEM,Chemistry,B270,Restricted,2024-07-12 07:00,2024-07-12 13:30
UBCV,2023-2024,CHEM,Chemistry,B270,Restricted,2024-07-12 16:30,2024-07-12 22:00
UBCV,2023-2024,CHEM,Chemistry,B270,Restricted,2024-07-13 07:00,2024-07-13 22:00
UBCV,2023-2024,CHEM,Chemistry,B270,Restricted,2024-07-14 07:00,2024-07-14 22:00
UBCV,2023-2024,CHEM,Chemistry,B270,Restricted,2024-07-15 07:00,2024-07-15 22:00
UBCV,2023-2024,CHEM,Chemistry,B270,Restricted,2024-07-16 07:00,2024-07-16 22:00
UBCV,2023-2024,CHEM,Chemistry,B270,Restricted,2024-07-17 07:00,2024-07-17 13:30
UBCV,2023-2024,CHEM,Chemistry,B270,Restricted,2024-07-17 16:30,2024-07-17 22:00
UBCV,2023-2024,CHEM,Chemistry,B270,Restricted,2024-07-18 07:00,2024-07-18 22:00
UBCV,2023-2024,CHEM,Chemistry,B270,Restricted,2024-07-19 07:00,2024-07-19 13:30
UBCV,2023-2024,CHEM,Chemistry,B270,Restricted,2024-07-19 16:30,2024-07-19 22:00
UBCV,2023-2024,CHEM,Chemistry,B270,Restricted,2024-07-20 07:00,2024-07-20 22:00
UBCV,2023-2024,CHEM,Chemistry,B270,Restricted,2024-07-21 07:00,2024-07-21 22:00
